"HolderAddress","Balance","PendingBalanceUpdate"
"0x000b63b41f2f25487369ca3b3ef714800b9065d1","3165.1028","No"
"0x0070e9431594fd23a8a66841ea61232910a941ec","570.760836796057","No"
"0x00ebf02785e67e2ca338f67c933f3f10f77c98b0","9.0737069","No"
"0x00f3fb9d81506fe69f504fa12325d1559280d635","0.613351250726337","No"
"0x0199157cd68281e69bd5999a58a5d705d8492448","22.2033845812008","No"
"0x01ce2e6fe1b01ef659735ac628b48d3774804c92","10.0816712686022","No"
"0x02195cf327a93c2e0adfcea539a379cdce9eaf56","1007.32938289","No"
"0x029a9182816ce52a36fd90a2f28ac55176fdc02f","2.13078291175858","No"
"0x0307062e4021a45c85ec00334cf6e280601cbbfc","3105.85411517","No"
"0x036db579ca9a04fa676cefac9db6f83ab7fbaad7","8159438.90487887","No"
"0x042c4aef436e40e2201ac74c9a5605ace0b82093","3E-18","No"
"0x0432c3c6785445b6f61d05ac6fe5aef7cd6b91ac","32.71502802","No"
"0x044698cbce69563d71db4ace765de94b8ade3bcf","1183.25685613","No"
"0x04809fc29f80b3a5f0f2a60e16d84dcf5d26b0af","76.3987178400011","No"
"0x04a4e4f869dd5cc20ff4756b0b228cf6a1070ea0","2066.499","No"
"0x04b5fdd6b783dfc763b9c778f3c75e18776ac159","1119.6901619105","No"
"0x04cbd89e886553dd63bab80ad5f6f65b22c661b0","4.79000483048928","No"
"0x04ea3009e3887b16e033c4db9a28764c23fb4de3","999.99999616","No"
"0x04f004eb2431e8f79fe0c671c807ecb2f5cc71ff","3.46776806","No"
"0x05bfa22cde07fcc24d004dcd79d14f88bab5fd2a","3091.22025853","No"
"0x05eb0dbde8cfb8df92f7606b1f0e8a351734dcbb","58.088561104","No"
"0x064e4f7ba74110826480655a447c290e80d92999","219.91202642","No"
"0x068ac7b17237fde4f48d89d9a6ca70a18069f5b7","1826.35051506","No"
"0x06a245df80965356267ebbeac92361bacd339e4a","0.15689796122759","No"
"0x06dce8f17b2b299a505a6f85ab2f589c17454c33","39.7591663400022","No"
"0x070dd1fc64589ebd66efdd1ecefecc50c460a14a","10.088002603","No"
"0x0754fa805173205bcc1d15e8b2535ecdaf0997b1","8689.50047674","No"
"0x077acf07b7b4276b81d30f18b67441c56ee0aa61","221.560378560673","No"
"0x079d5e76fea79cec26b41f11456b43003151ff73","183.145496887999","No"
"0x07cce0db1d31208d48a3dbd955eb52db0ed8a8ef","4021.62097188","No"
"0x07d4c87ffe4d4b73cc0536b191a5f8d7fbc9c4e5","1303.87350811","No"
"0x082428c41505728893ae07f757fe3708fe102a72","136.27189263","No"
"0x084514c7d70c1945392a7a77c57a28f4028a4937","2585.90713785","No"
"0x08e554f973e44d8a5a1f8d316064fbb0a0658f09","121.811955434079","No"
"0x08eb466eaf73024bbd3201c057fed937b3e6daee","55.6433699533999","No"
"0x091323f6ac2582efb9a38b9bdc5e884a5ee575f7","0.62715202000008","No"
"0x091464500b76dd1e8a95d212c9cfa62b380640b8","3004.7255873","No"
"0x099fb94b402fac3141c3adc4d3f0442c301d5650","4678.29747856","No"
"0x09dfa1f30e7c2d916c05cf9ae23f604e9f8691ff","17.3580110662","No"
"0x0a33c4031ef4e347efc7d50964b93960b0808a1f","21.3400000000001","No"
"0x0a780dd946f1157adac6d6a89ca8e6d1bdc1acf5","1457.99992478","No"
"0x0b1c8d5129bf87efb2d23255465d61a1c7491e98","149.13876596","No"
"0x0b88799c3204db0f7dc28857648c6e27e89bf6d5","70.1558324363","No"
"0x0bd057b8c760133ba7ebd18cda190b4770959278","86","No"
"0x0c8e1a5369c54f29e5f738045e23bb908b45bacc","1217.049","No"
"0x0da8978aeb0d73caf45cd0344fd4626615b75378","7159.2452353","No"
"0x0dffd3fd0949619e4696094c22662ab6a6836d6b","1.23156387","No"
"0x0e8e7e1cb1f2e9027cbe9e3081bf41c616701635","11.76004735","No"
"0x0effe74016b11061234523c350a9206004d4e6c9","1306.33496643","No"
"0x0f0e5f9184afd3cfabd7bab5a591b579a54800e2","1.78959468","No"
"0x0f1eca572b8b03d6c6a9a35d670b6ba6fde42454","84.5233693099997","No"
"0x0fe230960c671245f38550a1acb1bbca00f76191","20","No"
"0x100970460cfc5f1cff8c869f44d348325f53b3f7","2184.98944119","No"
"0x1020d4f5fa7afdf08a5089cadaaa18d9baea586f","37.1992054169","No"
"0x104f9d720e3bff70fc1417a301c85c2ea27cda49","1158.77150732","No"
"0x10b385eb6c517943da02e58a76c97b5a16e1c31d","11230.2211975707","No"
"0x10c17be7b6d3e1f424111c8bddf221c9557728b0","5.23742870789988","No"
"0x110d22ff3fb91373c58c393c645666b6dd2e8989","27302.4082","No"
"0x11cc3506b8f72ba4953cd5af962dd3f85e135338","29.5","No"
"0x11ededebf63bef0ea2d2d071bdf88f71543ec6fb","239.847976076943","No"
"0x12377a95ed8c273a6335544122beba9177faa116","9.94344774564558","No"
"0x123e0b16ab322b9a718d654ad1e6b35f690dc77f","124.85189716","No"
"0x12ab59eea1d3c01cae8473eb941d13d8a007eb67","220","No"
"0x13390d4945dfe6639e734f7d0bb725c439b06c24","730","No"
"0x135248f486dd56ccae8b0278a637acdd0ae1fbd4","2129.32415536","No"
